ID#,Topflight,Balance,Qual_miles,cc1_miles?,cc2_miles?,cc3_miles?,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Online_12,Email,Club_member,Any_cc_miles_12mo,Phone_sale
4008,No,59017,0,Yes,No,No,34746,25,0,0,1,Yes,No,Yes,No
4009,No,34235,0,Yes,No,No,18910,7,250,1,0,Yes,No,Yes,No
4010,No,11933,0,No,No,No,249,3,79,1,0,Yes,No,No,No
4011,No,5000,0,No,No,No,2125,3,0,0,0,Yes,No,No,Yes
4012,No,2622,0,No,No,No,1625,6,0,0,0,No,Yes,No,Yes
4013,No,11310,0,Yes,No,No,5021,2,0,0,0,Yes,No,Yes,No
4014,No,39142,0,Yes,No,No,14981,28,0,0,0,Yes,No,Yes,Yes
4015,No,11181,0,No,Yes,No,929,12,0,0,0,Yes,No,Yes,No
4016,No,3974,0,No,No,No,365,3,0,0,0,No,No,No,No
4017,No,18476,0,No,No,No,8525,4,200,1,0,Yes,No,No,No
4018,No,64385,0,No,No,No,981,5,0,0,0,Yes,No,No,Yes
4019,Yes,73597,0,Yes,No,No,25447,8,0,0,0,Yes,No,Yes,No
4020,No,54899,0,No,No,No,500,1,500,1,0,Yes,No,No,No
4021,No,3016,0,No,No,No,0,0,0,0,0,Yes,No,No,Yes
4022,No,6690,0,No,No,No,40,2,0,0,0,Yes,No,No,No
4023,No,13431,0,No,No,No,2643,4,0,0,0,Yes,No,No,No
4024,Yes,64048,0,Yes,No,No,69754,15,150,1,0,Yes,No,Yes,No
4025,No,33239,0,Yes,No,No,667,3,0,0,0,No,No,Yes,No
4026,No,22030,0,Yes,Yes,No,13103,15,0,0,0,Yes,No,Yes,No
4027,No,7375,0,No,No,No,3000,16,0,0,0,Yes,No,No,No
4028,No,51307,4640,No,No,No,580,3,0,0,0,Yes,No,No,No
4029,No,27227,0,Yes,No,No,36282,22,0,0,0,Yes,No,Yes,No
4030,No,64105,0,Yes,No,No,28646,10,0,0,0,No,No,Yes,No
4031,No,39900,0,Yes,No,No,15840,2,0,0,0,No,No,Yes,No
4032,No,9521,0,No,No,No,1250,3,0,0,0,Yes,No,No,No
4033,No,80255,0,Yes,No,No,15814,16,0,0,0,Yes,No,Yes,No
4034,No,52514,0,Yes,No,No,29969,23,250,1,0,Yes,No,Yes,No
4035,No,53842,0,Yes,Yes,No,11641,16,0,0,0,Yes,No,Yes,No
4036,No,55496,1000,Yes,No,No,23605,9,300,2,0,Yes,No,Yes,No
4037,No,30249,0,Yes,Yes,No,50547,48,0,0,0,Yes,No,Yes,No
4038,No,1710,0,No,No,No,140,2,0,0,0,Yes,No,No,No
4039,No,28217,0,No,No,No,1197,3,1197,3,0,Yes,No,No,No
4040,No,33027,0,Yes,No,No,37706,15,0,0,0,Yes,No,Yes,No
4041,No,81192,6914,Yes,No,No,10644,14,500,1,0,Yes,No,Yes,No
4042,No,44381,0,No,No,No,953,4,773,2,0,Yes,No,No,Yes
4043,Yes,55338,5123,Yes,No,No,17254,17,800,2,0,Yes,No,Yes,No
4044,No,21212,0,Yes,Yes,No,8759,13,0,0,0,Yes,No,Yes,No
4045,No,5692,0,No,No,No,0,0,0,0,0,No,No,No,No
4046,No,128039,0,Yes,No,No,49045,13,0,0,0,No,No,Yes,No
4047,No,47051,0,Yes,No,No,7179,11,500,1,0,Yes,No,Yes,No
4048,No,181209,0,Yes,No,No,39722,21,0,0,0,Yes,No,Yes,No
4049,No,3890,0,Yes,No,No,342,11,0,0,0,No,No,Yes,No
4050,No,4,0,No,No,No,460,1,0,0,0,No,No,No,No
4051,Yes,53465,0,No,No,No,358,3,150,1,0,Yes,No,No,No
4052,No,6875,0,No,No,No,2125,10,0,0,0,Yes,No,No,No
4053,No,1966,733,No,No,No,0,0,0,0,0,Yes,No,No,No
4054,No,35764,0,Yes,No,No,28450,23,800,2,0,Yes,Yes,Yes,Yes
4055,No,21030,0,Yes,No,No,2409,9,0,0,0,Yes,No,Yes,No
4056,No,96583,0,Yes,No,No,22818,23,0,0,0,Yes,No,Yes,No
4057,No,19763,0,No,Yes,No,2434,9,0,0,0,No,No,Yes,No
4058,No,20107,0,Yes,No,No,18785,15,0,0,0,Yes,No,Yes,Yes
4059,No,75068,783,No,No,No,6781,7,4316,4,0,Yes,No,No,No
4060,No,27012,0,No,No,No,3500,7,0,0,0,Yes,No,No,No
4061,No,17417,0,Yes,No,No,3035,7,0,0,0,Yes,No,Yes,No
4062,No,34273,0,No,No,No,200,3,200,3,0,Yes,No,No,No
