Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Online_12,Topflight_Yes,cc1_miles?_Yes,cc2_miles?_Yes,cc3_miles?_Yes,Email_Yes,Club_member_Yes,Any_cc_miles_12mo_Yes,Phone_sale
15275,0,75,2,0,0,0,False,False,False,False,False,False,False,0
16825,0,4250,27,0,0,0,False,False,False,False,False,False,False,0
48775,0,17494,15,0,0,0,False,True,False,False,True,False,True,0
133370,0,44299,18,0,0,0,False,True,False,False,True,False,True,0
108100,0,45113,17,1000,2,0,False,True,False,False,False,False,True,0
56805,0,16617,17,0,0,0,False,True,False,False,False,False,True,0
50939,0,16453,16,0,0,0,False,True,False,False,True,False,True,1
126484,0,5942,13,3192,11,0,True,False,False,False,True,False,False,0
17500,0,17500,2,0,0,0,False,False,False,False,False,False,False,0
5824,0,0,0,0,0,0,False,False,False,False,False,False,False,0
114868,0,45996,22,0,0,0,False,True,False,False,True,False,True,0
7591,0,0,0,0,0,0,False,False,False,False,True,False,False,0
12221,0,511,4,0,0,0,False,True,True,False,False,False,True,0
101901,0,17898,22,100,1,0,True,True,True,False,True,True,True,1
33245,0,31390,17,0,0,1,False,True,False,False,True,False,True,0
26693,0,22057,14,0,0,0,False,True,False,False,True,False,True,0
50895,0,29618,15,0,0,0,False,True,False,False,True,False,True,0
266200,0,5000,1,0,0,0,True,False,False,False,False,True,False,1
29326,0,23061,7,0,0,0,False,True,False,False,True,False,True,0
25333,0,11229,16,300,2,0,False,True,False,False,True,False,True,0
23193,0,650,4,550,3,0,False,False,False,False,False,False,False,1
170049,3692,10232,16,750,2,0,False,True,False,False,True,False,True,0
13958,0,4291,5,0,0,0,False,False,False,False,True,False,False,0
68464,0,240,3,0,0,0,False,False,False,False,True,True,False,1
4600,0,140,1,0,0,0,False,False,False,False,False,False,False,0
88177,0,53468,19,400,1,0,False,True,False,False,True,False,True,0
323459,0,12000,8,1500,3,0,True,False,False,False,True,False,False,0
252386,0,39787,13,0,0,0,False,True,False,False,True,True,True,1
36311,0,100,1,100,1,0,False,False,False,False,True,False,False,0
9005,0,520,1,0,0,0,False,False,False,False,False,False,False,0
45031,0,1000,1,0,0,0,False,False,False,False,True,True,False,1
46142,0,14445,13,0,0,0,False,True,False,False,True,False,True,0
24608,0,62774,21,0,0,0,False,True,False,False,False,False,True,0
89668,0,29130,14,0,0,0,False,True,False,False,False,False,True,0
108395,0,8598,8,0,0,0,False,True,False,False,False,False,True,1
31611,0,4030,12,0,0,0,False,True,False,False,False,False,True,0
212976,0,19926,12,0,0,0,False,True,False,False,False,True,True,1
28493,0,21845,22,300,1,0,False,True,False,False,True,False,True,0
21944,0,29461,13,0,0,0,False,True,False,False,True,False,True,1
11875,0,3625,22,0,0,0,False,False,False,False,False,False,False,0
78712,0,0,0,0,0,0,False,False,False,False,False,False,False,0
134060,0,46606,13,0,0,0,False,True,False,False,True,True,True,1
10458,0,10458,12,0,0,0,False,False,True,False,False,False,True,0
310226,0,61894,28,1700,9,0,True,True,False,False,True,False,True,0
35316,0,1250,4,500,1,0,False,False,False,False,False,False,False,1
59035,0,245,4,0,0,0,False,False,False,False,False,False,False,1
40893,0,1130,3,0,0,0,False,False,False,False,False,False,False,0
3294,0,1330,2,0,0,0,False,False,False,False,False,True,False,1
58628,0,22581,13,0,0,0,False,True,False,False,True,False,True,0
