ID#,Topflight,Balance,Qual_miles,cc1_miles?,cc2_miles?,cc3_miles?,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Online_12,Email,Club_member,Any_cc_miles_12mo,Phone_sale
1,No,28143,0,No,Yes,No,174,1,0,0,0,Yes,No,Yes,No
2,No,19244,0,No,No,No,215,2,0,0,0,No,No,No,No
3,No,41354,0,Yes,No,No,4123,4,0,0,0,Yes,No,Yes,No
4,No,14776,0,No,No,No,500,1,0,0,0,Yes,No,No,No
5,Yes,97752,0,Yes,No,No,43300,26,2077,4,0,Yes,No,Yes,No
6,No,16420,0,No,No,No,0,0,0,0,0,No,Yes,No,Yes
7,No,84914,0,Yes,No,No,27482,25,0,0,0,Yes,Yes,Yes,Yes
8,Yes,20856,0,No,No,No,5250,4,250,1,0,Yes,No,No,No
9,Yes,443003,0,Yes,Yes,No,1753,43,3850,12,0,Yes,No,Yes,No
10,Yes,104860,0,Yes,No,No,28426,28,1150,3,0,Yes,No,Yes,No
11,No,40091,0,Yes,No,No,7278,10,0,0,0,Yes,No,Yes,No
12,Yes,96522,0,Yes,No,No,61105,19,0,0,1,Yes,Yes,Yes,Yes
13,No,43382,0,Yes,No,No,11150,20,0,0,0,Yes,No,Yes,No
14,No,43097,0,No,Yes,No,3258,6,0,0,0,Yes,No,Yes,No
15,No,17648,0,No,No,No,0,0,0,0,0,Yes,No,No,No
16,No,28495,0,Yes,No,No,49442,15,0,0,0,Yes,Yes,Yes,Yes
17,No,51890,0,Yes,No,No,48963,16,0,0,0,Yes,No,Yes,No
18,No,13958,0,No,No,No,4291,5,0,0,0,Yes,No,No,No
19,Yes,91473,0,Yes,No,No,27408,17,0,0,0,Yes,No,Yes,No
20,No,23354,0,Yes,No,No,10447,5,0,0,0,Yes,No,Yes,No
21,Yes,120576,0,Yes,No,No,58831,23,250,2,0,Yes,No,Yes,Yes
22,Yes,185681,2024,No,No,No,13300,16,1800,9,0,Yes,No,No,No
23,No,20584,0,No,No,No,3450,11,3450,11,0,No,No,No,No
24,No,66275,0,No,No,No,2533,11,150,1,0,Yes,No,No,No
25,No,205651,500,No,No,No,4025,21,700,4,1,Yes,No,No,No
26,No,20726,0,No,No,No,1375,4,0,0,0,No,No,No,No
27,No,18521,0,No,No,No,1227,2,1227,2,0,No,No,No,No
28,No,8828,0,No,No,No,0,0,0,0,0,No,No,No,No
29,Yes,59763,0,Yes,No,No,33772,20,100,1,0,Yes,No,Yes,No
30,No,19221,0,No,No,No,4655,8,500,1,0,No,No,No,No
31,No,177926,0,Yes,No,No,20797,13,0,0,0,Yes,No,Yes,No
32,No,10021,0,No,No,No,0,0,0,0,0,No,No,No,Yes
33,No,276571,0,Yes,No,No,42044,23,0,0,0,Yes,No,Yes,No
34,No,18047,0,No,No,No,100,1,0,0,0,Yes,No,No,No
35,No,43832,0,No,No,No,0,0,0,0,0,Yes,No,No,No
36,Yes,123759,0,Yes,No,No,50572,23,2500,5,0,Yes,Yes,Yes,Yes
37,No,23193,0,No,No,No,650,4,550,3,0,No,No,No,Yes
38,No,68666,0,No,No,No,350,2,350,2,0,No,Yes,No,Yes
39,Yes,59990,0,Yes,No,No,27878,17,0,0,0,Yes,Yes,Yes,Yes
40,No,2176,0,No,No,No,0,0,0,0,0,No,No,No,Yes
41,No,34616,0,No,No,No,1750,4,500,1,0,No,No,No,No
42,Yes,10470,0,Yes,No,No,38094,26,0,0,0,No,Yes,Yes,Yes
43,Yes,60313,0,No,No,No,10000,26,3250,9,0,Yes,No,No,No
44,No,619393,0,Yes,No,No,15008,14,0,0,0,Yes,No,Yes,No
45,No,121260,0,Yes,No,No,18493,18,0,0,0,Yes,No,Yes,No
46,Yes,288865,967,No,No,No,23600,14,2000,4,0,Yes,No,No,No
47,No,92336,0,Yes,No,No,11214,6,0,0,0,Yes,No,Yes,No
48,Yes,36924,0,No,No,No,5900,6,300,2,0,Yes,No,No,No
49,Yes,70312,0,Yes,No,No,34678,24,500,1,0,Yes,No,Yes,No
50,No,17051,0,No,No,No,1150,4,1150,4,0,Yes,No,No,No
51,No,108137,0,No,No,No,6368,5,6368,5,0,No,No,No,No
52,No,1300,0,No,No,No,370,1,0,0,0,No,No,No,No
53,No,118531,0,Yes,No,No,44577,38,0,0,0,No,No,Yes,Yes
54,Yes,121395,0,No,No,No,4970,8,650,2,2,Yes,No,No,No
55,No,38348,0,No,No,No,0,0,0,0,0,Yes,Yes,No,Yes
56,No,14448,0,No,No,No,1625,6,0,0,0,No,No,No,No
57,No,75971,0,Yes,No,No,34339,14,0,0,0,Yes,No,Yes,No
58,No,36298,0,No,No,No,3100,5,600,3,0,Yes,No,No,Yes
59,No,38077,0,Yes,No,No,34024,8,0,0,0,Yes,No,Yes,No
60,No,95118,0,Yes,No,No,23188,23,2200,7,0,No,No,Yes,No
61,No,134457,0,Yes,No,No,15588,14,0,0,0,Yes,No,Yes,No
62,No,19918,0,Yes,No,No,17601,11,0,0,0,Yes,No,Yes,No
63,No,10120,0,No,No,No,0,0,0,0,0,No,No,No,No
64,Yes,362642,0,Yes,No,No,28079,8,0,0,0,Yes,No,Yes,No
65,No,80250,0,No,No,No,895,2,0,0,0,Yes,No,No,No
66,Yes,53914,0,Yes,No,No,33767,45,5550,29,0,Yes,No,Yes,Yes
67,No,9375,0,No,No,No,1750,7,0,0,0,No,No,No,No
68,No,83237,0,Yes,No,No,35287,18,0,0,0,Yes,No,Yes,No
69,No,230715,0,Yes,No,No,24047,12,0,0,0,No,No,Yes,No
71,No,47457,0,Yes,No,No,12621,16,0,0,0,No,No,Yes,No
72,Yes,84409,5031,Yes,No,No,15436,16,1150,4,0,Yes,No,Yes,No
73,No,252386,0,Yes,No,No,39787,13,0,0,0,Yes,Yes,Yes,Yes
74,No,550367,0,Yes,No,No,12500,13,50,1,0,No,Yes,Yes,Yes
75,No,12646,0,No,No,No,631,4,631,4,0,No,No,No,No
76,No,123867,0,Yes,No,No,25308,17,0,0,0,Yes,No,Yes,No
78,No,129871,0,Yes,No,No,15776,22,0,0,0,No,No,Yes,No
79,Yes,109380,0,Yes,No,No,7537,16,0,0,0,Yes,Yes,Yes,Yes
80,No,111157,0,Yes,No,No,32883,19,0,0,0,No,No,Yes,No
81,No,49238,0,Yes,No,No,38037,18,0,0,0,No,No,Yes,No
82,No,38896,0,Yes,No,No,76988,16,556,1,0,Yes,No,Yes,No
83,No,4340,0,No,No,No,32685,5,0,0,0,No,No,No,No
84,No,88443,0,No,No,No,1200,3,1200,3,0,Yes,Yes,No,Yes
85,No,8454,0,No,Yes,No,498,9,0,0,0,Yes,No,Yes,Yes
86,No,61990,0,No,No,No,1625,6,0,0,0,Yes,No,No,No
87,No,24093,0,No,No,No,1750,7,0,0,0,No,Yes,No,Yes
88,No,35418,0,Yes,No,No,58557,18,900,3,0,Yes,No,Yes,No
89,No,40284,0,Yes,Yes,No,7719,5,0,0,0,No,No,Yes,No
90,Yes,609477,0,Yes,No,No,21422,22,1200,8,0,Yes,No,Yes,No
91,No,62553,0,Yes,No,No,7672,16,700,1,0,No,No,Yes,Yes
92,Yes,48433,0,No,No,No,3500,4,500,1,0,Yes,No,No,No
93,No,20508,0,No,No,No,22250,8,1250,5,0,Yes,No,No,No
94,No,2000,0,No,No,No,2000,4,2000,4,0,No,No,No,No
95,No,78629,0,Yes,No,No,36679,25,0,0,0,No,No,Yes,No
96,Yes,143566,0,No,No,No,5000,5,1500,3,0,Yes,No,No,No
97,Yes,185549,0,Yes,No,No,110859,39,2950,16,0,Yes,Yes,Yes,Yes
98,No,16796,0,No,No,No,2875,16,0,0,0,No,No,No,No
99,No,57346,0,Yes,No,No,5560,23,0,0,0,No,No,Yes,No
100,No,102062,0,Yes,No,No,44247,16,0,0,0,Yes,No,Yes,No
101,No,22324,0,No,No,No,1375,4,0,0,0,Yes,No,No,No
102,No,64824,0,Yes,No,No,20184,13,0,0,0,No,Yes,Yes,Yes
103,Yes,25076,1182,Yes,No,No,57203,14,0,0,0,Yes,Yes,Yes,Yes
104,No,8053,0,No,No,No,0,0,0,0,0,Yes,No,No,No
105,Yes,35119,0,No,No,No,0,0,0,0,0,No,No,No,No
106,Yes,28667,0,Yes,No,No,3861,7,2050,5,0,Yes,No,Yes,Yes
107,No,34327,0,No,No,No,0,0,0,0,0,Yes,No,No,No
108,Yes,3734,0,Yes,No,No,61096,18,150,2,0,Yes,No,Yes,Yes
109,Yes,96627,1182,No,No,Yes,49059,26,2300,9,1,Yes,No,Yes,Yes
110,No,43498,0,No,No,No,0,0,0,0,0,Yes,No,No,No
111,No,84674,0,Yes,No,No,46335,14,50,1,0,Yes,No,Yes,No
112,No,15098,0,Yes,No,No,32917,26,550,3,0,Yes,No,Yes,No
113,Yes,181019,0,Yes,No,No,18415,15,0,0,0,Yes,No,Yes,No
114,Yes,298911,0,No,No,No,8550,11,2550,8,0,Yes,Yes,No,Yes
115,No,124198,0,Yes,No,No,66330,23,4833,10,0,Yes,No,Yes,No
116,No,56906,0,Yes,No,No,2015,13,0,0,0,Yes,Yes,Yes,Yes
117,No,295638,0,Yes,No,No,5422,20,818,2,0,Yes,No,Yes,No
118,No,67018,0,Yes,No,No,23260,25,0,0,0,No,No,Yes,No
119,No,143967,0,Yes,No,No,7346,11,0,0,0,Yes,No,Yes,No
120,Yes,969559,0,No,No,No,2500,3,1000,2,0,No,Yes,No,Yes
121,No,122705,0,Yes,No,No,24222,15,0,0,0,No,No,Yes,Yes
122,No,16583,0,No,No,No,2625,7,0,0,0,Yes,No,No,No
123,No,77540,0,No,No,No,1000,1,0,0,0,Yes,No,No,No
124,Yes,205126,0,Yes,No,No,126630,45,2250,10,0,Yes,Yes,Yes,Yes
125,Yes,81974,0,Yes,No,No,37266,18,1050,3,0,Yes,No,Yes,No
126,No,47258,0,Yes,No,No,24768,19,0,0,0,No,Yes,Yes,Yes
127,No,77699,0,Yes,No,No,42775,13,0,0,0,No,No,Yes,No
128,Yes,133954,500,Yes,No,No,37670,18,1500,3,0,Yes,No,Yes,Yes
129,Yes,602064,0,Yes,No,No,194753,26,2250,10,0,Yes,No,Yes,No
130,Yes,213150,0,Yes,No,No,56308,41,5200,14,0,Yes,No,Yes,No
131,Yes,48333,0,Yes,No,No,10123,14,0,0,0,Yes,No,Yes,No
132,No,142175,0,Yes,No,No,37461,22,0,0,0,Yes,No,Yes,No
133,No,17469,0,No,No,No,0,0,0,0,0,No,No,No,No
